Year,State,Pop_Est,TTL_Cnty,Cnty_Rpt,Dys_w_AQI,Dys_NM,Dys_Blw_Thr,Dys_Abv_Thr,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,Latitude,Longitude,Percent of days measured,Percent of counties reporting
1980,Rhode Island,948773,5,2,696,36,606,90,336,270,43,32,15,0,502,244,102,174,133,389,0,0,-71.52247031399963,41.70828019300046,0.9508196721311475,0.4
1980,South Carolina,3134502,46,12,2886,1506,2444,442,1762,682,358,81,3,0,2034,1264,546,439,60,2387,0,0,-81.04537120699968,33.998821303000454,0.657103825136612,0.2608695652173913
1980,South Dakota,690851,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100.3735306369997,44.353130053000484,,0.0
1980,Tennessee,4600252,95,8,2671,257,2319,352,1559,760,230,102,20,0,1685,856,338,561,267,1843,0,0,-85.77449091399967,35.68094058000048,0.9122267759562842,0.08421052631578947
1980,Texas,14338208,254,16,4556,1300,3977,579,2960,1017,318,162,99,0,3100,1691,680,285,965,3306,0,0,-99.42677020599967,31.827240407000488,0.7780054644808743,0.06299212598425197
1980,Utah,1472595,29,6,1954,242,1768,186,1162,606,156,23,7,0,1010,478,261,258,1136,560,0,0,-111.58713063499971,39.360700171000474,0.8897996357012751,0.20689655172413793
1980,Vermont,512524,14,2,711,21,678,33,598,80,23,9,1,0,367,134,56,244,0,467,0,0,-72.51764079099962,43.62538123900049,0.9713114754098361,0.14285714285714285
1980,Virginia,5368334,134,18,4759,1829,4196,563,3032,1164,409,137,17,0,3200,1854,866,951,1031,2777,0,0,-78.45789046299967,37.54268067400045,0.7223740133576199,0.13432835820895522
1980,Washington,4154678,39,6,1879,317,1724,155,1030,694,118,31,6,0,877,473,273,1413,33,433,0,0,-120.47001078999972,47.52227862900048,0.8556466302367942,0.15384615384615385
1980,West Virginia,1951349,55,3,784,314,756,28,636,120,27,1,0,0,392,228,130,149,185,450,0,0,-80.71264013499967,38.66551020200046,0.7140255009107468,0.05454545454545454
1980,Wisconsin,4712045,72,26,6689,2827,6301,388,5488,813,259,110,19,0,4602,1934,816,498,1169,5022,0,0,-89.81637074199966,44.39319117400049,0.7029213955443464,0.3611111111111111
1980,Wyoming,474185,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-108.10983035299967,43.23554134300048,,0.0
1981,Alabama,3918533,67,8,2270,650,2010,260,1491,519,182,64,14,0,1387,819,354,81,96,2093,0,0,-86.63186076199969,32.84057112200048,0.7773972602739726,0.11940298507462686
1981,Alaska,418493,30,3,1061,34,998,63,778,220,39,21,3,0,614,234,102,699,136,226,0,0,-147.72205903599973,64.84507995700051,0.9689497716894977,0.1
1981,Arizona,2810108,15,8,2540,380,2331,209,1712,619,164,30,15,0,938,538,336,947,371,1222,0,0,-111.76381127699972,34.865970280000454,0.8698630136986302,0.5333333333333333
1981,Arkansas,2293204,75,1,365,0,327,38,239,88,37,1,0,0,174,101,43,0,70,295,0,0,-92.27449074299966,34.74865012400045,1.0,0.013333333333333334
1981,California,24285933,58,43,14379,1316,11871,2508,8608,3263,1239,609,660,0,7686,4726,2366,1904,3574,8901,0,0,-120.99999953799971,37.63864012300047,0.9161516406498885,0.7413793103448276
1981,Colorado,2977899,64,10,3424,226,3157,267,2146,1011,207,40,18,2,1700,868,437,1533,540,1351,0,0,-106.13361092099967,38.843840757000464,0.938082191780822,0.15625
1981,Connecticut,3128837,8,6,1632,558,1309,323,782,527,138,110,75,0,1445,904,329,494,196,942,0,0,-72.64984095199964,41.56266102000046,0.7452054794520548,0.75
1981,Delaware,595974,3,2,440,290,400,40,342,58,34,6,0,0,369,131,43,231,56,153,0,0,-75.57774116799965,39.008830667000495,0.6027397260273972,0.6666666666666666
1981,District Of Columbia,636893,1,1,365,0,320,45,78,242,32,12,1,0,201,105,66,157,144,64,0,0,-77.036871,38.907192,1.0,1.0
1981,Florida,10192775,67,12,4116,264,3849,267,2657,1192,226,40,1,0,1881,986,524,981,396,2739,0,0,-81.92896053899966,28.932040377000476,0.9397260273972603,0.1791044776119403
1981,Georgia,5568346,159,4,1301,159,1210,91,977,233,56,28,7,0,770,366,145,321,111,869,0,0,-83.62758034599966,32.83968109300048,0.8910958904109589,0.025157232704402517
1981,Hawaii,978195,5,1,361,4,361,0,324,37,0,0,0,0,80,51,30,304,2,55,0,0,-157.85774940299973,21.304850435000446,0.989041095890411,0.2
1981,Idaho,962204,44,1,295,70,279,16,117,162,16,0,0,0,147,92,55,295,0,0,0,0,-114.3637300419997,43.682630005000476,0.8082191780821918,0.022727272727272728
1981,Illinois,11443461,102,22,6370,1660,6137,233,5036,1101,188,36,9,0,3502,1460,759,1413,166,4791,0,0,-88.99771017799969,40.48501028300046,0.7932752179327521,0.21568627450980393
1981,Indiana,5480440,92,15,5128,347,4805,323,4072,733,231,81,11,0,2267,1158,463,362,2600,2166,0,0,-86.14996019399968,39.766910452000445,0.93662100456621,0.16304347826086957
1981,Iowa,2907985,99,7,1683,872,1663,20,1391,272,18,2,0,0,758,386,195,666,109,908,0,0,-93.81649055599968,42.46940091300047,0.6587084148727984,0.0707070707070707
1981,Kansas,2384853,105,3,820,275,791,29,637,154,25,4,0,0,488,206,109,346,31,443,0,0,-98.20078122699965,38.34774030000045,0.7488584474885844,0.02857142857142857
1981,Kentucky,3670395,120,31,7349,3966,6909,440,5476,1433,365,68,7,0,4619,2479,1184,736,1488,5125,0,0,-84.77497104799966,37.645970271000465,0.6494918250110473,0.25833333333333336
1981,Louisiana,4283297,64,11,3064,951,2775,289,2171,604,216,61,12,0,1954,1035,433,104,234,2726,0,0,-92.44568007099969,31.31266064400046,0.7631382316313823,0.171875
1981,Maine,1133033,16,6,1074,1116,1050,24,959,91,9,12,3,0,686,278,141,325,117,632,0,0,-68.98503133599962,45.254228894000505,0.4904109589041096,0.375
1981,Maryland,4261905,24,10,3145,505,2789,356,2100,689,222,98,36,0,2023,983,376,356,715,2074,0,0,-76.60926011099963,39.29058096400047,0.8616438356164383,0.4166666666666667
1981,Massachusetts,5768685,14,9,2342,943,2135,207,1420,715,139,52,16,0,1740,856,391,401,557,1384,0,0,-72.08269067499964,42.27687047000046,0.7129375951293759,0.6428571428571429
1981,Michigan,9209287,83,14,4257,853,3989,268,3347,642,197,61,10,0,2377,1038,476,668,646,2943,0,0,-84.71439026999968,44.6613195430005,0.8330724070450097,0.1686746987951807
1981,Minnesota,4111733,87,10,2873,777,2811,62,2069,742,53,7,2,0,1417,622,375,1346,193,1334,0,0,-94.79420050299967,46.35564873600049,0.7871232876712329,0.11494252873563218
1981,Mississippi,2539032,82,3,920,175,859,61,664,195,54,7,0,0,462,254,125,71,44,805,0,0,-89.53803082499968,32.745510099000455,0.8401826484018264,0.036585365853658534
1981,Missouri,4932069,115,8,2547,373,2383,164,1923,460,113,42,9,0,1611,612,279,531,319,1697,0,0,-92.56630005299968,38.635790776000476,0.8722602739726028,0.06956521739130435
1981,Montana,795325,56,5,1439,386,1418,21,1185,233,15,5,1,0,693,306,178,725,210,504,0,0,-109.42442064499971,47.06652897200047,0.7884931506849315,0.08928571428571429
1981,Nebraska,1578517,93,3,851,244,833,18,707,126,10,3,5,0,440,156,76,384,81,386,0,0,-99.36572062299967,41.6410409880005,0.7771689497716895,0.03225806451612903
1981,Nevada,847656,17,4,1237,223,1016,221,611,405,195,19,7,0,597,335,241,485,313,439,0,0,-117.07184056399967,39.493240390000494,0.8472602739726027,0.23529411764705882
1981,New Hampshire,936621,10,4,1028,432,969,59,666,303,38,16,5,0,755,287,163,447,0,581,0,0,-71.50036091999965,43.65595011300047,0.7041095890410959,0.4
1981,New Jersey,7407471,21,19,5601,1334,5032,569,3470,1562,345,169,55,0,3352,1717,759,2328,1304,1969,0,0,-74.27369128799967,40.13057004800049,0.8076423936553713,0.9047619047619048
1981,New Mexico,1332747,33,5,1738,87,1652,86,1249,403,36,25,25,0,652,405,193,951,56,731,0,0,-106.24058098499967,34.52088095200048,0.9523287671232876,0.15151515151515152
1981,New York,17567731,62,21,7022,643,6576,446,5436,1140,309,107,30,0,3881,1571,713,1728,812,4482,0,0,-75.54397042699964,42.82700103200045,0.9161121983039792,0.3387096774193548
1981,North Carolina,5956653,100,11,2797,1218,2541,256,1660,881,205,51,0,0,1826,1048,506,979,0,1818,0,0,-79.15925046299964,35.466220975000454,0.696637608966376,0.11
1981,North Dakota,659504,53,3,1093,2,1083,10,999,84,10,0,0,0,353,151,100,0,71,1022,0,0,-100.11842104899966,47.47531977900047,0.9981735159817352,0.05660377358490566
1981,Ohio,10788336,88,24,7664,1096,6998,666,5502,1496,459,175,32,0,4592,2207,924,1246,1184,5234,0,0,-82.40426005599966,40.06021014100048,0.8748858447488584,0.2727272727272727
1981,Oklahoma,3096159,77,4,1025,435,939,86,600,339,67,19,0,0,557,318,175,129,252,644,0,0,-97.52107021399968,35.47203135600046,0.702054794520548,0.05194805194805195
1981,Oregon,2667985,36,8,2652,268,2529,123,1640,889,99,18,6,0,1433,562,353,1457,43,1152,0,0,-120.15503132599969,44.56744942400047,0.9082191780821918,0.2222222222222222
1981,Pennsylvania,11858569,67,24,7877,883,7171,706,5280,1891,470,184,52,0,5097,2137,973,260,3837,3780,0,0,-77.86070029399963,40.79373015200048,0.8992009132420091,0.3582089552238806
1981,Rhode Island,953012,5,2,711,19,656,55,440,216,27,18,10,0,440,194,89,189,94,428,0,0,-71.52247031399963,41.70828019300046,0.9739726027397261,0.4
1981,South Carolina,3179255,46,13,3344,1401,3067,277,2302,765,234,42,1,0,2046,1165,513,736,1,2607,0,0,-81.04537120699968,33.998821303000454,0.7047418335089568,0.2826086956521739
1981,South Dakota,689584,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100.3735306369997,44.353130053000484,,0.0
1981,Tennessee,4627662,95,9,3156,129,2890,266,1926,964,206,55,5,0,1579,801,393,772,191,2193,0,0,-85.77449091399967,35.68094058000048,0.960730593607306,0.09473684210526316
1981,Texas,14746318,254,16,4535,1305,4031,504,3086,945,290,155,59,0,3227,1575,656,312,988,3235,0,0,-99.42677020599967,31.827240407000488,0.776541095890411,0.06299212598425197
1981,Utah,1515472,29,5,1697,128,1536,161,941,595,118,37,6,0,830,458,231,375,771,551,0,0,-111.58713063499971,39.360700171000474,0.9298630136986301,0.1724137931034483
1981,Vermont,515594,14,3,817,278,809,8,748,61,7,1,0,0,432,147,87,195,0,622,0,0,-72.51764079099962,43.62538123900049,0.7461187214611872,0.21428571428571427
1981,Virginia,5444094,134,19,5268,1667,4861,407,3701,1160,297,100,10,0,3322,1760,762,1347,1172,2749,0,0,-78.45789046299967,37.54268067400045,0.7596250901225667,0.1417910447761194
1981,Washington,4235728,39,6,1977,213,1808,169,1061,747,126,33,10,0,1005,491,274,1495,51,431,0,0,-120.47001078999972,47.52227862900048,0.9027397260273973,0.15384615384615385
1981,West Virginia,1954125,55,2,660,70,641,19,568,73,19,0,0,0,254,113,50,264,231,165,0,0,-80.71264013499967,38.66551020200046,0.9041095890410958,0.03636363636363636
1981,Wisconsin,4726345,72,23,5862,2533,5573,289,4928,645,198,61,30,0,3668,1593,751,333,853,4676,0,0,-89.81637074199966,44.39319117400049,0.6982727814175104,0.3194444444444444
1981,Wyoming,491712,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-108.10983035299967,43.23554134300048,,0.0
